"","Crime.Type","Crime.Solved","Victim.Sex","Victim.Age","Victim.Race","Perpetrator.Sex","Perpetrator.Age","Perpetrator.Race","Relationship","Weapon"
"624828","Murder or Manslaughter","Yes","Male",62,"White","Male",39,"White","Unknown","Knife"
"624829","Murder or Manslaughter","No","Male",26,"Unknown","Unknown",0,"Unknown","Unknown","Firearm"
"624830","Murder or Manslaughter","Yes","Female",62,"White","Female",58,"White","Boyfriend/Girlfriend","Handgun"
"624831","Murder or Manslaughter","Yes","Female",85,"White","Male",83,"White","Unknown","Handgun"
"624832","Murder or Manslaughter","Yes","Male",45,"White","Male",39,"White","Neighbor","Handgun"
"624833","Murder or Manslaughter","No","Male",39,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624834","Murder or Manslaughter","Yes","Male",25,"White","Male",23,"White","Stranger","Handgun"
"624835","Murder or Manslaughter","Yes","Male",62,"White","Male",63,"White","Unknown","Strangulation"
"624836","Murder or Manslaughter","Yes","Male",22,"White","Male",37,"White","Stranger","Rifle"
"624837","Murder or Manslaughter","Yes","Male",50,"White","Male",45,"White","Stranger","Rifle"
"624838","Murder or Manslaughter","Yes","Male",38,"White","Male",23,"White","Stranger","Gun"
"624839","Murder or Manslaughter","No","Male",38,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624840","Murder or Manslaughter","No","Male",33,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624841","Murder or Manslaughter","Yes","Male",19,"White","Male",21,"White","Stranger","Knife"
"624842","Murder or Manslaughter","Yes","Male",25,"White","Male",23,"White","Stranger","Handgun"
"624843","Murder or Manslaughter","No","Male",30,"Asian/Pacific Islander","Unknown",0,"Unknown","Unknown","Handgun"
"624844","Murder or Manslaughter","No","Male",41,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624845","Murder or Manslaughter","Yes","Female",80,"White","Male",84,"White","Ex-Wife","Firearm"
"624846","Murder or Manslaughter","Yes","Male",39,"White","Male",23,"White","Stranger","Firearm"
"624847","Murder or Manslaughter","Yes","Male",51,"White","Male",19,"White","Stranger","Firearm"
"624848","Murder or Manslaughter","Yes","Male",33,"White","Female",23,"White","Friend","Knife"
"624849","Murder or Manslaughter","Yes","Male",3,"Black","Male",27,"Black","Son","Blunt Object"
"624850","Murder or Manslaughter","Yes","Male",54,"White","Male",39,"White","Unknown","Firearm"
"624851","Murder or Manslaughter","Yes","Male",65,"Asian/Pacific Islander","Male",21,"White","Unknown","Handgun"
"624852","Murder or Manslaughter","Yes","Male",33,"Black","Male",20,"Black","Unknown","Handgun"
"624853","Murder or Manslaughter","Yes","Male",21,"White","Male",19,"Black","Stranger","Handgun"
"624854","Murder or Manslaughter","Yes","Male",43,"Black","Male",32,"Black","Stranger","Handgun"
"624855","Murder or Manslaughter","Yes","Male",18,"Asian/Pacific Islander","Male",30,"White","Stranger","Firearm"
"624856","Murder or Manslaughter","No","Male",16,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624857","Murder or Manslaughter","Yes","Male",23,"Black","Male",33,"Black","Unknown","Handgun"
"624858","Murder or Manslaughter","Yes","Male",18,"White","Male",20,"White","Stranger","Firearm"
"624859","Murder or Manslaughter","Yes","Male",21,"White","Male",31,"White","Unknown","Handgun"
"624860","Murder or Manslaughter","No","Male",43,"White","Unknown",0,"Unknown","Unknown","Shotgun"
"624861","Murder or Manslaughter","No","Male",22,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624862","Murder or Manslaughter","Yes","Male",40,"White","Male",43,"Asian/Pacific Islander","Stranger","Firearm"
"624863","Murder or Manslaughter","No","Female",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624864","Murder or Manslaughter","No","Male",23,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624865","Murder or Manslaughter","Yes","Male",28,"Black","Male",29,"Black","Stranger","Handgun"
"624866","Murder or Manslaughter","No","Male",29,"Black","Unknown",0,"Unknown","Unknown","Shotgun"
"624867","Murder or Manslaughter","Yes","Male",65,"White","Male",31,"Black","Stranger","Firearm"
"624868","Murder or Manslaughter","Yes","Male",29,"Black","Male",28,"Black","Acquaintance","Firearm"
"624869","Murder or Manslaughter","Yes","Male",42,"Black","Male",21,"White","Acquaintance","Firearm"
"624870","Murder or Manslaughter","Yes","Male",16,"White","Male",23,"White","Stranger","Firearm"
"624871","Murder or Manslaughter","Yes","Male",27,"White","Male",46,"White","Stranger","Handgun"
"624872","Murder or Manslaughter","Yes","Male",59,"Asian/Pacific Islander","Male",25,"Asian/Pacific Islander","Father","Handgun"
"624873","Murder or Manslaughter","Yes","Male",25,"White","Male",31,"White","Stranger","Handgun"
"624874","Murder or Manslaughter","Yes","Male",37,"Black","Male",35,"Black","Stranger","Knife"
"624875","Murder or Manslaughter","Yes","Male",49,"White","Male",18,"White","Stranger","Unknown"
"624876","Murder or Manslaughter","Yes","Male",39,"White","Male",47,"White","Stranger","Firearm"
"624877","Murder or Manslaughter","Yes","Male",48,"Black","Male",38,"Black","Unknown","Handgun"
"624878","Murder or Manslaughter","Yes","Male",39,"White","Male",23,"White","Stranger","Firearm"
"624879","Murder or Manslaughter","No","Male",35,"White","Unknown",0,"Unknown","Unknown","Knife"
"624880","Murder or Manslaughter","Yes","Male",47,"Black","Male",43,"White","Stranger","Handgun"
"624881","Murder or Manslaughter","Yes","Female",45,"White","Male",47,"Black","Girlfriend","Knife"
"624882","Murder or Manslaughter","Yes","Male",0,"White","Female",31,"White","Son","Blunt Object"
"624883","Murder or Manslaughter","Yes","Male",32,"Asian/Pacific Islander","Male",27,"White","Unknown","Firearm"
"624884","Murder or Manslaughter","Yes","Male",47,"Black","Male",49,"Black","Unknown","Handgun"
"624885","Murder or Manslaughter","No","Male",22,"White","Unknown",0,"Unknown","Unknown","Knife"
"624886","Murder or Manslaughter","Yes","Male",26,"Black","Male",36,"Black","Stranger","Firearm"
"624887","Murder or Manslaughter","Yes","Male",21,"White","Male",40,"White","Stranger","Handgun"
"624888","Murder or Manslaughter","Yes","Female",56,"White","Female",27,"Black","Stranger","Knife"
"624889","Murder or Manslaughter","Yes","Male",36,"White","Male",49,"Native American/Alaska Native","Stranger","Handgun"
"624890","Manslaughter by Negligence","Yes","Male",16,"White","Male",15,"Black","Friend","Handgun"
"624891","Murder or Manslaughter","Yes","Male",36,"Black","Male",23,"White","Stranger","Knife"
"624892","Murder or Manslaughter","Yes","Male",24,"Black","Male",30,"Black","Unknown","Firearm"
"624893","Murder or Manslaughter","Yes","Male",20,"Black","Male",26,"Asian/Pacific Islander","Unknown","Handgun"
"624894","Murder or Manslaughter","Yes","Male",23,"Black","Male",17,"Black","Brother","Shotgun"
"624895","Murder or Manslaughter","Yes","Male",24,"White","Male",21,"White","Stranger","Handgun"
"624896","Murder or Manslaughter","No","Male",23,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624897","Murder or Manslaughter","No","Male",85,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"624898","Murder or Manslaughter","Yes","Male",25,"Black","Male",19,"White","Stranger","Firearm"
"624899","Murder or Manslaughter","No","Male",23,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624900","Murder or Manslaughter","Yes","Male",40,"White","Male",37,"White","Neighbor","Shotgun"
"624901","Murder or Manslaughter","Yes","Female",24,"White","Male",31,"White","Wife","Knife"
"624902","Murder or Manslaughter","Yes","Male",37,"White","Male",33,"White","Acquaintance","Shotgun"
"624903","Murder or Manslaughter","Yes","Male",49,"White","Male",30,"White","Friend","Handgun"
"624904","Murder or Manslaughter","Yes","Male",57,"White","Male",38,"White","Friend","Rifle"
"624905","Murder or Manslaughter","Yes","Male",37,"White","Male",29,"White","Stranger","Handgun"
"624906","Murder or Manslaughter","Yes","Male",40,"Asian/Pacific Islander","Male",40,"White","Acquaintance","Handgun"
"624907","Murder or Manslaughter","Yes","Male",32,"White","Female",48,"White","Acquaintance","Handgun"
"624908","Murder or Manslaughter","No","Male",30,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624909","Murder or Manslaughter","Yes","Male",25,"White","Male",28,"White","Acquaintance","Shotgun"
"624910","Murder or Manslaughter","Yes","Male",56,"White","Male",43,"White","Stranger","Blunt Object"
"624911","Murder or Manslaughter","Yes","Male",60,"White","Male",28,"White","Acquaintance","Shotgun"
"624912","Murder or Manslaughter","No","Male",22,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624913","Murder or Manslaughter","No","Male",14,"White","Unknown",0,"Unknown","Unknown","Knife"
"624914","Murder or Manslaughter","No","Male",50,"White","Unknown",0,"Unknown","Unknown","Knife"
"624915","Murder or Manslaughter","Yes","Male",26,"White","Male",24,"White","Friend","Firearm"
"624916","Murder or Manslaughter","Yes","Female",28,"White","Male",46,"White","Girlfriend","Unknown"
"624917","Murder or Manslaughter","Yes","Male",22,"White","Male",23,"White","Unknown","Firearm"
"624918","Murder or Manslaughter","No","Male",21,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624919","Murder or Manslaughter","No","Male",29,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624920","Murder or Manslaughter","No","Male",998,"Unknown","Unknown",0,"Unknown","Unknown","Suffocation"
"624921","Murder or Manslaughter","Yes","Male",49,"White","Male",56,"White","Friend","Shotgun"
"624922","Murder or Manslaughter","Yes","Male",49,"White","Male",33,"White","Stranger","Firearm"
"624923","Murder or Manslaughter","No","Male",49,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624924","Murder or Manslaughter","No","Male",30,"White","Unknown",0,"Unknown","Unknown","Knife"
"624925","Murder or Manslaughter","No","Male",26,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624926","Murder or Manslaughter","Yes","Male",49,"White","Male",22,"White","Stranger","Firearm"
"624927","Murder or Manslaughter","Yes","Female",31,"White","Male",30,"White","Stranger","Knife"
"624928","Murder or Manslaughter","Yes","Male",61,"White","Male",65,"White","Neighbor","Knife"
"624929","Murder or Manslaughter","Yes","Male",67,"White","Male",35,"White","Stranger","Firearm"
"624930","Murder or Manslaughter","No","Male",38,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624931","Murder or Manslaughter","Yes","Male",43,"White","Male",34,"White","Stranger","Firearm"
"624932","Murder or Manslaughter","No","Male",22,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624933","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624934","Murder or Manslaughter","No","Male",22,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624935","Murder or Manslaughter","No","Female",42,"White","Unknown",0,"Unknown","Stranger","Firearm"
"624936","Murder or Manslaughter","Yes","Male",28,"White","Male",21,"White","Stranger","Knife"
"624937","Murder or Manslaughter","Yes","Male",18,"White","Male",30,"White","Neighbor","Firearm"
"624938","Murder or Manslaughter","Yes","Female",35,"White","Male",56,"White","Common-Law Wife","Blunt Object"
"624939","Murder or Manslaughter","No","Male",30,"White","Unknown",0,"Unknown","Unknown","Shotgun"
"624940","Murder or Manslaughter","No","Male",34,"White","Unknown",0,"Unknown","Unknown","Shotgun"
"624941","Murder or Manslaughter","Yes","Male",43,"White","Male",23,"White","Unknown","Firearm"
"624942","Murder or Manslaughter","Yes","Male",33,"White","Male",29,"White","Acquaintance","Handgun"
"624943","Murder or Manslaughter","Yes","Male",24,"White","Male",50,"White","Stranger","Handgun"
"624944","Murder or Manslaughter","No","Male",34,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624945","Murder or Manslaughter","No","Male",18,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624946","Murder or Manslaughter","Yes","Female",31,"White","Male",39,"White","Wife","Firearm"
"624947","Murder or Manslaughter","Yes","Male",47,"White","Female",19,"White","Unknown","Firearm"
"624948","Murder or Manslaughter","No","Male",29,"White","Unknown",0,"Unknown","Unknown","Knife"
"624949","Murder or Manslaughter","No","Male",55,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624950","Murder or Manslaughter","No","Male",21,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624951","Murder or Manslaughter","No","Male",57,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624952","Murder or Manslaughter","Yes","Male",23,"White","Male",26,"White","Stranger","Handgun"
"624953","Murder or Manslaughter","Yes","Male",35,"White","Male",46,"White","Stranger","Shotgun"
"624954","Murder or Manslaughter","No","Male",13,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624955","Murder or Manslaughter","Yes","Male",40,"White","Male",39,"White","Stranger","Handgun"
"624956","Murder or Manslaughter","Yes","Female",34,"White","Male",33,"White","Unknown","Blunt Object"
"624957","Murder or Manslaughter","Yes","Male",53,"Black","Female",48,"Black","Boyfriend","Knife"
"624958","Murder or Manslaughter","Yes","Male",34,"White","Male",47,"White","Boyfriend/Girlfriend","Knife"
"624959","Murder or Manslaughter","Yes","Male",37,"White","Male",17,"White","Stepfather","Firearm"
"624960","Murder or Manslaughter","Yes","Male",26,"Black","Male",34,"White","Stranger","Handgun"
"624961","Murder or Manslaughter","No","Male",60,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624962","Murder or Manslaughter","No","Male",43,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"624963","Murder or Manslaughter","Yes","Male",29,"White","Male",17,"White","Friend","Firearm"
"624964","Murder or Manslaughter","No","Male",50,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624965","Murder or Manslaughter","No","Male",28,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624966","Murder or Manslaughter","Yes","Male",34,"White","Male",50,"White","Acquaintance","Blunt Object"
"624967","Murder or Manslaughter","No","Male",65,"Asian/Pacific Islander","Unknown",0,"Unknown","Unknown","Handgun"
"624968","Murder or Manslaughter","Yes","Female",0,"White","Male",25,"White","Daughter","Blunt Object"
"624969","Murder or Manslaughter","Yes","Male",25,"Black","Male",33,"Black","Stranger","Firearm"
"624970","Murder or Manslaughter","Yes","Male",22,"White","Male",25,"Asian/Pacific Islander","Stranger","Handgun"
"624971","Murder or Manslaughter","Yes","Male",25,"White","Male",22,"Black","Stranger","Handgun"
"624972","Murder or Manslaughter","Yes","Male",23,"Black","Male",26,"Black","Unknown","Handgun"
"624973","Murder or Manslaughter","Yes","Male",37,"Black","Male",53,"Black","Stranger","Handgun"
"624974","Murder or Manslaughter","No","Male",19,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624975","Murder or Manslaughter","No","Male",19,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624976","Murder or Manslaughter","No","Male",20,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624977","Murder or Manslaughter","No","Male",52,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624978","Murder or Manslaughter","No","Male",18,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624979","Murder or Manslaughter","No","Male",20,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624980","Murder or Manslaughter","No","Male",46,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624981","Murder or Manslaughter","No","Male",16,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624982","Murder or Manslaughter","No","Male",48,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624983","Murder or Manslaughter","No","Male",19,"Asian/Pacific Islander","Unknown",0,"Unknown","Unknown","Handgun"
"624984","Murder or Manslaughter","No","Female",26,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624985","Murder or Manslaughter","No","Male",27,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624986","Murder or Manslaughter","Yes","Male",37,"White","Male",33,"White","Acquaintance","Firearm"
"624987","Murder or Manslaughter","No","Male",19,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624988","Murder or Manslaughter","Yes","Female",24,"White","Male",27,"White","Girlfriend","Firearm"
"624989","Murder or Manslaughter","Yes","Female",2,"White","Female",28,"White","Family","Blunt Object"
"624990","Murder or Manslaughter","Yes","Female",45,"White","Male",37,"White","Wife","Knife"
"624991","Murder or Manslaughter","Yes","Male",0,"White","Female",28,"White","Son","Blunt Object"
"624992","Murder or Manslaughter","Yes","Male",29,"Asian/Pacific Islander","Male",19,"Asian/Pacific Islander","Stranger","Firearm"
"624993","Murder or Manslaughter","Yes","Male",27,"White","Male",15,"White","Stranger","Knife"
"624994","Murder or Manslaughter","Yes","Male",49,"White","Male",16,"White","Stranger","Blunt Object"
"624995","Murder or Manslaughter","Yes","Male",54,"White","Male",41,"Asian/Pacific Islander","Stranger","Knife"
"624996","Murder or Manslaughter","Yes","Male",46,"Asian/Pacific Islander","Male",41,"Asian/Pacific Islander","Stranger","Knife"
"624997","Murder or Manslaughter","No","Male",51,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624998","Murder or Manslaughter","Yes","Female",58,"White","Male",58,"White","Wife","Handgun"
"624999","Murder or Manslaughter","No","Male",76,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"625000","Murder or Manslaughter","Yes","Male",65,"White","Male",20,"White","Stranger","Knife"
"625001","Murder or Manslaughter","No","Male",55,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625002","Murder or Manslaughter","No","Male",38,"Native American/Alaska Native","Unknown",0,"Unknown","Unknown","Firearm"
"625003","Manslaughter by Negligence","Yes","Female",26,"White","Male",35,"White","Friend","Drugs"
"625004","Murder or Manslaughter","Yes","Female",2,"White","Female",30,"White","Daughter","Knife"
"625005","Murder or Manslaughter","No","Male",20,"Black","Unknown",0,"Unknown","Unknown","Rifle"
"625006","Murder or Manslaughter","Yes","Female",3,"White","Female",30,"White","Daughter","Knife"
"625007","Murder or Manslaughter","Yes","Male",57,"White","Male",27,"White","Stranger","Handgun"
"625008","Murder or Manslaughter","Yes","Female",5,"White","Male",46,"White","Son","Blunt Object"
"625009","Murder or Manslaughter","No","Male",89,"White","Unknown",0,"Unknown","Unknown","Knife"
"625010","Murder or Manslaughter","Yes","Male",21,"White","Male",55,"Black","Stranger","Knife"
"625011","Murder or Manslaughter","Yes","Male",48,"White","Male",33,"White","Stranger","Handgun"
"625012","Murder or Manslaughter","No","Male",38,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625013","Murder or Manslaughter","No","Male",33,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625014","Murder or Manslaughter","No","Male",16,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625015","Murder or Manslaughter","No","Male",40,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625016","Murder or Manslaughter","No","Male",47,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625017","Murder or Manslaughter","No","Male",24,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625018","Murder or Manslaughter","No","Male",67,"White","Unknown",0,"Unknown","Unknown","Strangulation"
"625019","Murder or Manslaughter","No","Male",998,"Unknown","Unknown",0,"Unknown","Unknown","Handgun"
"625020","Murder or Manslaughter","Yes","Female",32,"Black","Female",32,"Black","Unknown","Handgun"
"625021","Murder or Manslaughter","No","Male",29,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625022","Murder or Manslaughter","No","Male",17,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625023","Murder or Manslaughter","No","Male",36,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625024","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625025","Murder or Manslaughter","No","Male",34,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625026","Murder or Manslaughter","No","Female",15,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625027","Murder or Manslaughter","Yes","Male",26,"White","Male",30,"White","Stranger","Handgun"
"625028","Murder or Manslaughter","No","Male",18,"Black","Unknown",0,"Unknown","Unknown","Rifle"
"625029","Murder or Manslaughter","No","Male",23,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625030","Murder or Manslaughter","Yes","Female",0,"White","Female",30,"White","Daughter","Knife"
"625031","Murder or Manslaughter","No","Male",27,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"625032","Murder or Manslaughter","Yes","Male",37,"White","Male",21,"White","Stranger","Handgun"
"625033","Murder or Manslaughter","No","Male",18,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625034","Murder or Manslaughter","No","Male",24,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625035","Murder or Manslaughter","No","Female",37,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625036","Murder or Manslaughter","No","Male",36,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625037","Murder or Manslaughter","No","Male",47,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625038","Murder or Manslaughter","No","Female",38,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625039","Murder or Manslaughter","Yes","Male",56,"White","Male",56,"Black","Stranger","Blunt Object"
"625040","Murder or Manslaughter","Yes","Male",26,"White","Male",35,"White","Stranger","Knife"
"625041","Murder or Manslaughter","Yes","Male",29,"White","Male",38,"White","Stranger","Handgun"
"625042","Murder or Manslaughter","No","Male",17,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625043","Murder or Manslaughter","No","Male",25,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625044","Murder or Manslaughter","Yes","Male",42,"Black","Male",41,"Black","Stranger","Blunt Object"
"625045","Murder or Manslaughter","No","Female",48,"Black","Unknown",0,"Unknown","Unknown","Knife"
"625046","Murder or Manslaughter","No","Male",55,"White","Unknown",0,"Unknown","Unknown","Knife"
"625047","Murder or Manslaughter","No","Male",64,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"625048","Murder or Manslaughter","Yes","Male",50,"White","Male",19,"White","Family","Knife"
"625049","Murder or Manslaughter","No","Male",19,"White","Unknown",0,"Unknown","Unknown","Knife"
"625050","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625051","Murder or Manslaughter","No","Male",31,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625052","Murder or Manslaughter","No","Male",43,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625053","Murder or Manslaughter","No","Male",76,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"625054","Murder or Manslaughter","No","Male",23,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625055","Murder or Manslaughter","Yes","Male",87,"White","Female",48,"White","Father","Knife"
"625056","Murder or Manslaughter","Yes","Female",31,"White","Female",29,"White","Stranger","Knife"
"625057","Murder or Manslaughter","Yes","Male",46,"Black","Female",46,"Black","Husband","Knife"
"625058","Murder or Manslaughter","Yes","Male",6,"White","Male",39,"White","Son","Knife"
"625059","Murder or Manslaughter","No","Male",27,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625060","Murder or Manslaughter","Yes","Male",28,"White","Male",44,"White","Stranger","Handgun"
"625061","Murder or Manslaughter","Yes","Female",59,"White","Male",23,"White","Family","Knife"
"625062","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625063","Murder or Manslaughter","No","Male",29,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625064","Murder or Manslaughter","Yes","Male",23,"Black","Male",22,"Black","Stranger","Handgun"
"625065","Murder or Manslaughter","No","Male",18,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625066","Murder or Manslaughter","No","Male",27,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625067","Murder or Manslaughter","Yes","Male",26,"White","Male",27,"White","Stranger","Handgun"
"625068","Murder or Manslaughter","No","Male",23,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625069","Murder or Manslaughter","No","Male",27,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625070","Murder or Manslaughter","Yes","Male",56,"White","Male",31,"White","Unknown","Blunt Object"
"625071","Murder or Manslaughter","Yes","Male",8,"White","Male",46,"White","Son","Blunt Object"
"625072","Murder or Manslaughter","No","Male",17,"White","Unknown",0,"Unknown","Unknown","Rifle"
"625073","Murder or Manslaughter","No","Male",19,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625074","Murder or Manslaughter","No","Female",74,"White","Unknown",0,"Unknown","Unknown","Knife"
"625075","Murder or Manslaughter","No","Male",24,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625076","Murder or Manslaughter","No","Male",27,"Unknown","Unknown",0,"Unknown","Unknown","Handgun"
"625077","Murder or Manslaughter","No","Male",34,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625078","Murder or Manslaughter","No","Male",21,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625079","Murder or Manslaughter","Yes","Male",53,"White","Male",30,"White","Stranger","Blunt Object"
"625080","Murder or Manslaughter","Yes","Female",41,"Asian/Pacific Islander","Male",68,"Asian/Pacific Islander","In-Law","Knife"
"625081","Manslaughter by Negligence","Yes","Female",84,"White","Female",61,"White","Mother","Unknown"
"625082","Murder or Manslaughter","No","Male",43,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625083","Murder or Manslaughter","Yes","Female",63,"White","Female",44,"White","Unknown","Handgun"
"625084","Murder or Manslaughter","No","Male",33,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625085","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625086","Murder or Manslaughter","No","Male",25,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625087","Murder or Manslaughter","Yes","Male",38,"Black","Male",37,"Black","Stranger","Handgun"
"625088","Murder or Manslaughter","Yes","Male",46,"White","Female",43,"White","Husband","Handgun"
"625089","Murder or Manslaughter","No","Female",57,"White","Unknown",0,"Unknown","Unknown","Unknown"
"625090","Murder or Manslaughter","Yes","Female",77,"White","Male",40,"White","Mother","Strangulation"
"625091","Murder or Manslaughter","No","Male",34,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625092","Murder or Manslaughter","No","Male",39,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625093","Murder or Manslaughter","No","Male",46,"White","Unknown",0,"Unknown","Unknown","Knife"
"625094","Murder or Manslaughter","No","Male",24,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625095","Murder or Manslaughter","No","Male",31,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625096","Murder or Manslaughter","No","Male",24,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625097","Murder or Manslaughter","No","Male",58,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625098","Murder or Manslaughter","No","Male",22,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625099","Murder or Manslaughter","No","Female",26,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625100","Murder or Manslaughter","Yes","Male",31,"Black","Male",35,"Black","Unknown","Handgun"
"625101","Murder or Manslaughter","Yes","Male",42,"White","Male",17,"White","Neighbor","Handgun"
"625102","Murder or Manslaughter","Yes","Male",24,"Black","Male",43,"White","Stranger","Handgun"
"625103","Murder or Manslaughter","No","Male",21,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625104","Murder or Manslaughter","No","Female",24,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625105","Murder or Manslaughter","No","Male",23,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625106","Murder or Manslaughter","No","Male",39,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625107","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625108","Murder or Manslaughter","No","Male",64,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625109","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625110","Murder or Manslaughter","No","Male",39,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"625111","Murder or Manslaughter","No","Male",29,"White","Unknown",0,"Unknown","Unknown","Handgun"
"625112","Murder or Manslaughter","Yes","Male",25,"Black","Male",44,"Black","Brother","Handgun"
